name,Building,HouseNo,Street,District,Town,County,Postcode,primary_service,lat,long,Comments
Touchstone - Community Development Service,,41-47,Cromwell Mount,,Leeds,West Yorkshire,LS9 7ST,BME Communities Services,53.802094,-1.527018,
Touchstone - Community Support Team,"Dyson Building, ground floor",,Buslingthorpe Lane,,Leeds,West Yorkshire,LS7 2DB,Mental Health Services,53.814338,-1.540884,
Touchstone - East Leeds Health for All,Cromwell Mount,41-47,Lincoln Green,,Leeds,West Yorkshire,LS9 7ST,Health,53.802094,-1.527018,
Touchstone - Housing Service,Touchstone House,4-Feb,Middleton Crescent,Beeston,Leeds,West Yorkshire,LS11 6JU,Housing & Related Support,53.773894,-1.547598,
Touchstone - IAPT,,179 - 181,Hazlewood Drive,Ebor Gardens,Leeds,West Yorkshire,LS9 7RE,Counselling and Therapy Services,53.798308,-1.516904,
Touchstone - Personality Disorder Network,"Dyson Building, ground floor",,Buslingthorpe Lane,,Leeds,West Yorkshire,LS7 2DB,Mental Health Services,53.814338,-1.540884,
Touchstone - Self Directed Support,"Dyson Building, ground floor",,Buslingthorpe Lane,,Leeds,West Yorkshire,LS7 2DB,Social & Community Care Services,53.814338,-1.540884,
Touchstone - Support Centre,The Support Centre,53-55,Harehills Avenue,Harehills,Leeds,West Yorkshire,LS8 4EX,Mental Health Services,53.81767,-1.521876,
Urban Sprawl,Marquis House,33,Eastgate,,Leeds,,LS2 7RD,Arts & Media,53.799058,-1.536131,
Vale Day Centre Service Users Involvement Group,The Vale Day Centre,,Church Street,Hunslet,Leeds,West Yorkshire,LS10 2AP,Mental Health Services,53.778851,-1.528645,
VERSA,,,182 Skipton Road,,Keighley,,BD21 2SY,Counselling and Therapy Services,53.872749,-1.909151,
Victim Support Leeds,,7,Park View Court,,Shipley,West Yorkshire,BD18 3DZ,Advice /Information Services,53.832057,-1.782058,
Volition,Joseph's Well,Suite 17D,Hanover Walk,Westgate,Leeds,West Yorkshire,LS3 1AB,Infrastructure,53.800982,-1.556306,
Well Women Centre,,,24 Trinity Church Gate,,Wakefield,West Yorkshire,WF1 1TX,Women,53.680484,-1.493899,
West Indian Family Counselling Service,Roscoe Methodist Church,,Francis Street,Chapeltown,Leeds,West Yorkshire,LS7 4BY,Social & Community Care Services,53.814373,-1.531254,church
West Yorkshire Wellbeing,Brookland Towers,12,Brooklands Avenue,Seacroft,Leeds,West Yorkshire,LS14 6PL,Health,53.820383,-1.464138,
Wetherby Club Drop-in,c/o Community Alternatives Team,79,Roundhay Road,,Leeds,West Yorkshire,LS7 4AA,Mental Health Services,53.809853,-1.528886,
Women's Counselling and Therapy Service,Oxford Chambers,,Oxford Place,,Leeds,West Yorkshire,LS1 3AX,Counselling and Therapy Services,53.800066,-1.55065,
Womens Health Matters,Bridge House,,Balm Road,,Leeds,West Yorkshire,LS10 2TP,Women,53.774274,-1.530411,
Yorkshire Childrens Society Centre,Brian Jackson House,,New North Parade,,Huddersfield,West Yorkshire,HD1 5JP,Counselling and Therapy Services,53.647875,-1.786494,
Yorkshire Mediation Services,,Butts Court,Basinghall Street,,Leeds,,LS1 5JS,Mediation,53.79815,-1.546263,
Yorkshire MESMAC,,,PO Box 417,,Leeds,West Yorkshire,LS1 5PN,Sexual Health,,,PO box
Yorkshire MESMAC - Counselling Service,,,PO Box 417,,Leeds,,LS1 5PN,Counselling and Therapy Services,,,PO Box
Young Minds,"Suite 11, Baden Place",,Crosby Row,,London,,SE1 1WY,Mental Health Services,51.501712,-0.089083,Helpline
Your Voice (Wakefield),,25,King Street,,Wakefield,West Yorkshire,WF1 2SR,Mental Health Services,53.683358,-1.501383,
Zest Health for Life,,21a,Upper Accommodation Road,Richmond Hill,Leeds,,LS9 8RZ,Community Development,53.793025,-1.522919,
